Coll,Int,Wea,CRASH_NUM1,TrWay,PSL,Align,TCD,CF
Front-to-Front,Not an Intersection,Cloudy,2017_131425,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2017_131426,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_131426,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Clear,2017_131426,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Front-to-Front,Not an Intersection,Clear,2017_131428,Two-Way Undivided,45 MPH,Curve,Other Regulatory Sign,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2017_131429,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_150002,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,Not an Intersection,Clear,2017_150013,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_150013,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2017_150015,Two-Way Undivided,45 MPH,Straight,No Controls,Making a U-turn
Angle,T-Intersection,Clear,2017_150015,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_150029,Two-Way Divided,35 MPH,Straight,No Controls,Others
Front-to-Rear,Not an Intersection,Clear,2017_150029,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Rain,2017_150031,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2017_150033,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
Angle,T-Intersection,Clear,2017_150036,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Not an Intersection,Rain,2017_150040,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Rain,2017_150041,Two-Way Divided,45 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,Not an Intersection,Clear,2017_150042,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Rain,2017_150048,Two-Way Undivided,25 MPH,Curve,No Controls,Negotiating a Curve
Others,Not an Intersection,Clear,2017_150055,Two-Way Undivided,30 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2017_150062,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_150073,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_150073,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_150088,Two-Way Divided,30 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Not an Intersection,Cloudy,2017_160014,Two-Way Divided,35 MPH,Straight,No Controls,Others
Angle,Not an Intersection,Clear,2017_160020,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2017_160042,Two-Way Undivided,25 MPH,Straight,Unknown,Turning
Others,T-Intersection,Clear,2017_160113,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Front-to-Rear,Four-Way Intersection,Cloudy,2017_160146,Two-Way Divided,40 MPH,Straight,Traffic control signal,Others
Sideswipe,Four-Way Intersection,Clear,2017_160158,Two-Way Divided,30 MPH,Straight,Traffic control signal,Changing Lanes/Overtaking
Angle,Four-Way Intersection,Clear,2017_160161,Two-Way Divided,30 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_160168,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_160168,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Sideswipe,Not an Intersection,Cloudy,2017_160181,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
Front-to-Front,Not an Intersection,Cloudy,2017_160185,Two-Way Divided,45 MPH,Curve,Other Regulatory Sign,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2017_160216,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170046,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_170047,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_170047,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2017_170050,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2017_170063,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Rain,2017_170064,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170070,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_170073,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170078,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2017_170088,Two-Way Undivided,25 MPH,Straight,No Controls,Others
Front-to-Front,Not an Intersection,Clear,2017_170090,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
Front-to-Front,Not an Intersection,Clear,2017_170090,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2017_170099,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
Angle,T-Intersection,Clear,2017_170100,Two-Way Divided,45 MPH,Straight,Stop Sign,Turning
Angle,T-Intersection,Clear,2017_170100,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,"Fog, Smog, Smoke",2017_170108,Two-Way Divided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,"Fog, Smog, Smoke",2017_170108,Two-Way Divided,30 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_170125,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Snow,2017_170131,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2017_170140,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2017_170149,Two-Way Divided,40 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2017_170170,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
Sideswipe,Not an Intersection,Clear,2017_170187,Two-Way Undivided,40 MPH,Curve,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170189,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170204,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_170211,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170228,Two-Way Divided,45 MPH,Straight,Yield Sign,Turning
Angle,Four-Way Intersection,Clear,2017_170228,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2017_170230,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
Front-to-Front,T-Intersection,Clear,2017_170231,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170237,One-Way Trafficway,35 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_170237,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_170253,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170270,Two-Way Divided,30 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_170275,Two-Way Undivided,30 MPH,Straight,Stop Sign,Turning
Angle,Not an Intersection,Cloudy,2017_170280,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170282,Two-Way Undivided,40 MPH,Straight,Other Regulatory Sign,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170284,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2017_170290,Two-Way Divided,30 MPH,Straight,No Controls,Turning
Front-to-Front,Not an Intersection,Cloudy,2017_170293,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170295,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,Not an Intersection,Clear,2017_170296,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Cloudy,2017_170299,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Cloudy,2017_170299,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170304,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Sideswipe,T-Intersection,Clear,2017_170305,Two-Way Undivided,35 MPH,Curve,Traffic control signal,Negotiating a Curve
Angle,T-Intersection,Clear,2017_170316,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Sideswipe,Four-Way Intersection,Rain,2017_170325,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Sideswipe,Four-Way Intersection,Rain,2017_170325,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2017_170345,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_170351,Two-Way Undivided,30 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2017_170363,Two-Way Undivided,45 MPH,Straight,Stop Sign,Turning
Front-to-Front,Not an Intersection,Clear,2017_170375,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170375,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2017_170376,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Clear,2017_170378,Two-Way Undivided,30 MPH,Straight,Stop Sign,Others
Angle,T-Intersection,Clear,2017_170409,Two-Way Undivided,45 MPH,Straight,Stop Sign,Turning
Angle,Not an Intersection,Clear,2017_170433,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
Front-to-Rear,Four-Way Intersection,Clear,2017_170438,Two-Way Divided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Clear,2017_170442,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170443,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170443,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170451,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_170451,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_170461,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Sideswipe,Not an Intersection,Clear,2017_170462,Two-Way Divided,30 MPH,Straight,No Controls,Going Straight
Sideswipe,Not an Intersection,Clear,2017_170462,Two-Way Divided,30 MPH,Straight,No Controls,Going Straight
Sideswipe,Not an Intersection,Clear,2017_170462,Two-Way Divided,30 MPH,Straight,No Controls,Unknown
Front-to-Front,Four-Way Intersection,Clear,2017_170463,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Four-Way Intersection,Clear,2017_170463,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Four-Way Intersection,Clear,2017_170479,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_170481,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170483,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170488,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Rain,2017_170490,Two-Way Divided,40 MPH,Straight,No Controls,Others
Front-to-Front,Four-Way Intersection,Clear,2017_170495,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170516,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Sideswipe,Not an Intersection,Clear,2017_170531,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170545,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,Not an Intersection,Clear,2017_170554,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Turning
Front-to-Front,Not an Intersection,Clear,2017_170558,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
Front-to-Front,Not an Intersection,Clear,2017_170562,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170573,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
Angle,T-Intersection,Clear,2017_170577,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2017_170587,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2017_170588,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
Front-to-Front,Not an Intersection,Clear,2017_170609,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_170614,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2017_170626,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
Front-to-Front,Four-Way Intersection,Clear,2017_170635,Two-Way Undivided,40 MPH,Curve,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170658,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Not an Intersection,Clear,2017_170673,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170673,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2017_170675,Driveway Access,No Statutory Limit,Driveway Access,Stop Sign,Turning
Angle,Not an Intersection,Clear,2017_170678,Driveway Access,No Statutory Limit,Driveway Access,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2017_170683,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2017_170684,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
Angle,T-Intersection,Clear,2017_170684,Two-Way Undivided,35 MPH,Straight,Stop Sign,Others
Angle,Four-Way Intersection,Cloudy,2017_170686,Two-Way Divided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Rain,2017_170691,Two-Way Undivided,20 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_170696,Two-Way Undivided,35 MPH,Straight,No Controls,Changing Lanes/Overtaking
Front-to-Front,T-Intersection,Clear,2017_170701,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Front-to-Rear,T-Intersection,Clear,2017_170704,Two-Way Undivided,45 MPH,Straight,Other Regulatory Sign,Going Straight
Angle,T-Intersection,Clear,2017_170705,Two-Way Undivided,40 MPH,Curve,No Controls,Turning
Angle,Four-Way Intersection,Clear,2017_170709,One-Way Trafficway,35 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2017_170721,Two-Way Undivided,20 MPH,Straight,Stop Sign,Going Straight
Angle,Not an Intersection,Clear,2017_170754,Two-Way Undivided,45 MPH,Straight,Other Regulatory Sign,Turning
Angle,Four-Way Intersection,Clear,2017_170768,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_170769,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170774,Two-Way Divided,30 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_170774,Two-Way Divided,30 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Rain,2017_170790,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170792,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Clear,2017_170792,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,"Fog, Smog, Smoke",2017_170793,Two-Way Divided,45 MPH,Straight,Traffic control signal,Accelerating/Decelerating
Front-to-Front,Not an Intersection,Cloudy,2017_170816,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170817,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_170826,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2017_170830,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Others
Front-to-Front,Four-Way Intersection,Clear,2017_170833,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Four-Way Intersection,Clear,2017_170835,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2017_170835,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Accelerating/Decelerating
Front-to-Rear,Not an Intersection,Rain,2017_170863,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170873,Two-Way Divided,30 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Cloudy,2017_170878,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Cloudy,2017_170878,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Not an Intersection,Clear,2017_170893,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_170893,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170926,Two-Way Undivided,30 MPH,Straight,Other Regulatory Sign,Going Straight
Sideswipe,Not an Intersection,Clear,2017_170927,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170939,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_170939,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_170939,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_170939,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Front-to-Front,Not an Intersection,Clear,2017_170941,Two-Way Undivided,30 MPH,Straight,No Controls,Changing Lanes/Overtaking
Front-to-Front,Not an Intersection,Clear,2017_170946,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170946,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2017_170952,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Rain,2017_170954,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170957,Two-Way Divided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_170957,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Four-Way Intersection,Clear,2017_170959,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_170977,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Clear,2017_170978,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_170980,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2017_170982,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Four-Way Intersection,Clear,2017_170982,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Four-Way Intersection,Clear,2017_170982,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2017_170982,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Four-Way Intersection,Clear,2017_170982,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Four-Way Intersection,Clear,2017_170982,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Unknown
Front-to-Front,Not an Intersection,Clear,2017_170984,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_170988,Two-Way Undivided,35 MPH,Curve,No Controls,Changing Lanes/Overtaking
Angle,Four-Way Intersection,Clear,2017_170996,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Sideswipe,Not an Intersection,Clear,2017_171001,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Snow,2017_171012,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Snow,2017_171012,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_171020,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_171021,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2017_171030,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2017_171031,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Sideswipe,Not an Intersection,Clear,2017_171034,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2017_180005,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Front-to-Rear,Not an Intersection,Cloudy,2017_180023,Two-Way Undivided,35 MPH,Straight,No Controls,Changing Lanes/Overtaking
Front-to-Rear,Not an Intersection,Cloudy,2017_180023,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_180025,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_180025,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_180025,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2017_180040,Two-Way Divided,35 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2017_180040,Two-Way Divided,35 MPH,Straight,Traffic control signal,Others
Angle,T-Intersection,Cloudy,2017_180046,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,Not an Intersection,Rain,2017_180050,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Sideswipe,Not an Intersection,Clear,2017_180061,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Rear,Not an Intersection,Clear,2017_180066,Two-Way Undivided,40 MPH,Straight,No Controls,Accelerating/Decelerating
Angle,Not an Intersection,Clear,2017_180079,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
Angle,Not an Intersection,Clear,2017_180079,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2017_180080,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2017_180086,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_180090,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_180095,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Snow,2017_180118,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
Front-to-Rear,Not an Intersection,Clear,2017_180119,Two-Way Undivided,25 MPH,Straight,No Controls,Going Straight
Sideswipe,T-Intersection,Clear,2017_180132,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_180134,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2017_180147,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2017_180159,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Clear,2017_180162,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2017_180162,Two-Way Undivided,40 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2017_180163,Two-Way Undivided,20 MPH,Straight,Stop Sign,Turning
Front-to-Rear,Not an Intersection,Rain,2017_180168,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Rain,2017_180168,Two-Way Undivided,45 MPH,Straight,No Controls,Accelerating/Decelerating
Front-to-Rear,Not an Intersection,Rain,2017_180168,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_180179,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_180179,One-Way Trafficway,30 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2017_180181,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2017_180184,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,Not an Intersection,Clear,2017_180184,Two-Way Undivided,45 MPH,Curve,No Controls,Changing Lanes/Overtaking
Sideswipe,Not an Intersection,Clear,2017_180189,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
Sideswipe,Not an Intersection,Clear,2017_180189,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2017_180202,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2017_180206,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2017_180206,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Rain,2017_180223,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Not an Intersection,Rain,2017_180238,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2017_180256,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2017_180271,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2017_180271,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
